138 phage	468	350	V. cholerae El Tor	CP-T1	463	345	V. cholerae El Tor	83	83	alignments/350-345.xfma.png
CP-933M	353	237	ecoli_O157	Sp14	382	266	ecoli_O157n	45	45	alignments/237-266.xfma.png
CP-933M	353	237	ecoli_O157	Sp11	379	263	ecoli_O157n	41	41	alignments/237-263.xfma.png
CP-933M	353	237	ecoli_O157	CP-933O	359	243	ecoli_O157	45	45	alignments/237-243.xfma.png
CP-933M	353	237	ecoli_O157	CP-933R	360	244	ecoli_O157	34	34	alignments/237-244.xfma.png
CP-933M	353	237	ecoli_O157	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	34	34	alignments/237-209.xfma.png
CP-933M	353	237	ecoli_O157	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	34	34	alignments/237-210.xfma.png
CP-933M	353	237	ecoli_O157	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	34	34	alignments/237-211.xfma.png
CP-933M	353	237	ecoli_O157	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	37	37	alignments/237-200.xfma.png
CP-933M	353	237	ecoli_O157	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	37	37	alignments/237-201.xfma.png
BP-933W	355	239	ecoli_O157	Sp5	373	257	ecoli_O157n	88	88	alignments/239-257.xfma.png
CP-933N	351	235	ecoli_O157	Sp6	374	258	ecoli_O157n	87	87	alignments/235-258.xfma.png
CP-933N	351	235	ecoli_O157	CP-933P	361	245	ecoli_O157	52	52	alignments/235-245.xfma.png
CP-933N	351	235	ecoli_O157	Sp12	380	264	ecoli_O157n	51	51	alignments/235-264.xfma.png
CP-933N	351	235	ecoli_O157	Sp9	377	261	ecoli_O157n	50	50	alignments/235-261.xfma.png
CP-933N	351	235	ecoli_O157	Sp10	378	262	ecoli_O157n	45	45	alignments/235-262.xfma.png
CP-933N	351	235	ecoli_O157	CP-933V	352	236	ecoli_O157	38	38	alignments/235-236.xfma.png
CP-933N	351	235	ecoli_O157	CP-933O	359	243	ecoli_O157	31	31	alignments/235-243.xfma.png
CP-933C	356	240	ecoli_O157	Sp7	375	259	ecoli_O157n	100	100	alignments/240-259.xfma.png
CP-933X	357	241	ecoli_O157	Sp8	376	260	ecoli_O157n	76	76	alignments/241-260.xfma.png
CP-933X	357	241	ecoli_O157	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	40	40	alignments/241-212.xfma.png
CP-933O	359	243	ecoli_O157	Sp9	377	261	ecoli_O157n	55	40	alignments/243-261.xfma.png
CP-933O	359	243	ecoli_O157	Sp4	372	256	ecoli_O157n	60	46	alignments/243-256.xfma.png
CP-933O	359	243	ecoli_O157	Sp11	379	263	ecoli_O157n	51	40	alignments/243-263.xfma.png
CP-933O	359	243	ecoli_O157	Sp14	382	266	ecoli_O157n	55	44	alignments/243-266.xfma.png
CP-933O	359	243	ecoli_O157	CP-933R	360	244	ecoli_O157	45	38	alignments/243-244.xfma.png
CP-933O	359	243	ecoli_O157	CP-933U	354	238	ecoli_O157	50	40	alignments/243-238.xfma.png
CP-933O	359	243	ecoli_O157	Sp12	380	264	ecoli_O157n	45	31	alignments/243-264.xfma.png
CP-933O	359	243	ecoli_O157	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	43	39	alignments/243-210.xfma.png
CP-933O	359	243	ecoli_O157	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	43	39	alignments/243-211.xfma.png
CP-933O	359	243	ecoli_O157	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	43	39	alignments/243-209.xfma.png
CP-933R	360	244	ecoli_O157	Sp10	378	262	ecoli_O157n	71	70	alignments/244-262.xfma.png
CP-933R	360	244	ecoli_O157	Sp14	382	266	ecoli_O157n	56	56	alignments/244-266.xfma.png
CP-933R	360	244	ecoli_O157	Sp4	372	256	ecoli_O157n	58	58	alignments/244-256.xfma.png
CP-933R	360	244	ecoli_O157	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	31	31	alignments/244-204.xfma.png
CP-933R	360	244	ecoli_O157	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	31	31	alignments/244-203.xfma.png
CP-933R	360	244	ecoli_O157	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	40	40	alignments/244-210.xfma.png
CP-933R	360	244	ecoli_O157	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	40	40	alignments/244-211.xfma.png
CP-933R	360	244	ecoli_O157	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	40	40	alignments/244-209.xfma.png
CP-933R	360	244	ecoli_O157	CP-933U	354	238	ecoli_O157	36	36	alignments/244-238.xfma.png
CP-933R	360	244	ecoli_O157	Sp11	379	263	ecoli_O157n	43	43	alignments/244-263.xfma.png
CP-933R	360	244	ecoli_O157	Sp12	380	264	ecoli_O157n	35	35	alignments/244-264.xfma.png
CP-933R	360	244	ecoli_O157	CP-933P	361	245	ecoli_O157	33	33	alignments/244-245.xfma.png
CP-933P	361	245	ecoli_O157	Sp12	380	264	ecoli_O157n	83	83	alignments/245-264.xfma.png
CP-933P	361	245	ecoli_O157	Sp9	377	261	ecoli_O157n	77	77	alignments/245-261.xfma.png
CP-933P	361	245	ecoli_O157	Sp10	378	262	ecoli_O157n	65	65	alignments/245-262.xfma.png
CP-933P	361	245	ecoli_O157	Sp6	374	258	ecoli_O157n	52	52	alignments/245-258.xfma.png
CP-933P	361	245	ecoli_O157	CP-933V	352	236	ecoli_O157	52	52	alignments/245-236.xfma.png
CP-933P	361	245	ecoli_O157	Sp14	382	266	ecoli_O157n	43	43	alignments/245-266.xfma.png
CP-933P	361	245	ecoli_O157	CP-933U	354	238	ecoli_O157	44	44	alignments/245-238.xfma.png
CP-933P	361	245	ecoli_O157	Sp11	379	263	ecoli_O157n	38	38	alignments/245-263.xfma.png
CP-933P	361	245	ecoli_O157	CP-933O	359	243	ecoli_O157	45	45	alignments/245-243.xfma.png
CP-933P	361	245	ecoli_O157	Sp4	372	256	ecoli_O157n	42	42	alignments/245-256.xfma.png
CP-933P	361	245	ecoli_O157	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	34	34	alignments/245-201.xfma.png
CP-933P	361	245	ecoli_O157	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	34	34	alignments/245-200.xfma.png
CP-933U	354	238	ecoli_O157	Sp15	383	267	ecoli_O157n	54	54	alignments/238-267.xfma.png
CP-933U	354	238	ecoli_O157	Sp14	382	266	ecoli_O157n	75	75	alignments/238-266.xfma.png
CP-933U	354	238	ecoli_O157	Sp11	379	263	ecoli_O157n	54	54	alignments/238-263.xfma.png
CP-933U	354	238	ecoli_O157	Sp12	380	264	ecoli_O157n	42	42	alignments/238-264.xfma.png
CP-933U	354	238	ecoli_O157	Sp10	378	262	ecoli_O157n	32	32	alignments/238-262.xfma.png
CP-933U	354	238	ecoli_O157	Sp9	377	261	ecoli_O157n	39	39	alignments/238-261.xfma.png
CP-933U	354	238	ecoli_O157	Sp4	372	256	ecoli_O157n	48	48	alignments/238-256.xfma.png
CP-933U	354	238	ecoli_O157	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	33	33	alignments/238-201.xfma.png
CP-933U	354	238	ecoli_O157	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	33	33	alignments/238-200.xfma.png
CP-933U	354	238	ecoli_O157	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	39	39	alignments/238-209.xfma.png
CP-933U	354	238	ecoli_O157	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	39	39	alignments/238-210.xfma.png
CP-933U	354	238	ecoli_O157	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	39	39	alignments/238-211.xfma.png
CP-933V	352	236	ecoli_O157	Sp15	383	267	ecoli_O157n	68	68	alignments/236-267.xfma.png
CP-933V	352	236	ecoli_O157	Sp10	378	262	ecoli_O157n	53	53	alignments/236-262.xfma.png
CP-933V	352	236	ecoli_O157	Sp9	377	261	ecoli_O157n	47	47	alignments/236-261.xfma.png
CP-933V	352	236	ecoli_O157	Sp12	380	264	ecoli_O157n	50	50	alignments/236-264.xfma.png
CP-933V	352	236	ecoli_O157	Sp6	374	258	ecoli_O157n	41	41	alignments/236-258.xfma.png
CP-933V	352	236	ecoli_O157	BP-933W	355	239	ecoli_O157	32	32	alignments/236-239.xfma.png
CP-933H&I	358	242	ecoli_O157	Sp2	370	254	ecoli_O157n	54	54	alignments/242-254.xfma.png
CP-933H&I	358	242	ecoli_O157	Sp1	369	253	ecoli_O157n	46	46	alignments/242-253.xfma.png
CP-933Y	362	246	ecoli_O157	Sp17	385	269	ecoli_O157n	99	99	alignments/246-269.xfma.png
CP-933Y	362	246	ecoli_O157	CP-933R	360	244	ecoli_O157	44	44	alignments/246-244.xfma.png
CP-933Y	362	246	ecoli_O157	Sp14	382	266	ecoli_O157n	41	41	alignments/246-266.xfma.png
CP-933Y	362	246	ecoli_O157	CP-933O	359	243	ecoli_O157	44	44	alignments/246-243.xfma.png
CP-933Y	362	246	ecoli_O157	Sp12	380	264	ecoli_O157n	41	41	alignments/246-264.xfma.png
CP-933Y	362	246	ecoli_O157	Sp4	372	256	ecoli_O157n	39	39	alignments/246-256.xfma.png
CP-933Y	362	246	ecoli_O157	CP-933U	354	238	ecoli_O157	41	41	alignments/246-238.xfma.png
CP-933Y	362	246	ecoli_O157	Sp3	371	255	ecoli_O157n	30	30	alignments/246-255.xfma.png
LEE	350	234	ecoli_O157	SpLE4	366	250	ecoli_O157n	94	94	alignments/234-250.xfma.png
Sp4	372	256	ecoli_O157n	Sp14	382	266	ecoli_O157n	63	63	alignments/256-266.xfma.png
Sp4	372	256	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	32	32	alignments/256-204.xfma.png
Sp4	372	256	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	32	32	alignments/256-203.xfma.png
Sp4	372	256	ecoli_O157n	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	54	54	alignments/256-210.xfma.png
Sp4	372	256	ecoli_O157n	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	54	54	alignments/256-211.xfma.png
Sp4	372	256	ecoli_O157n	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	54	54	alignments/256-209.xfma.png
Sp4	372	256	ecoli_O157n	Sp12	380	264	ecoli_O157n	40	40	alignments/256-264.xfma.png
Sp4	372	256	ecoli_O157n	Sp11	379	263	ecoli_O157n	42	42	alignments/256-263.xfma.png
Sp4	372	256	ecoli_O157n	Sp9	377	261	ecoli_O157n	37	37	alignments/256-261.xfma.png
Sp4	372	256	ecoli_O157n	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	30	30	alignments/256-200.xfma.png
Sp4	372	256	ecoli_O157n	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	30	30	alignments/256-201.xfma.png
Sp6	374	258	ecoli_O157n	Sp12	380	264	ecoli_O157n	50	50	alignments/258-264.xfma.png
Sp6	374	258	ecoli_O157n	Sp9	377	261	ecoli_O157n	47	47	alignments/258-261.xfma.png
Sp6	374	258	ecoli_O157n	Sp10	378	262	ecoli_O157n	43	43	alignments/258-262.xfma.png
Sp8	376	260	ecoli_O157n	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	52	52	alignments/260-212.xfma.png
Sp8	376	260	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	33	33	alignments/260-203.xfma.png
Sp8	376	260	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	33	33	alignments/260-204.xfma.png
Sp8	376	260	ecoli_O157n	Sp11	379	263	ecoli_O157n	37	37	alignments/260-263.xfma.png
Sp8	376	260	ecoli_O157n	Sp4	372	256	ecoli_O157n	30	30	alignments/260-256.xfma.png
Sp8	376	260	ecoli_O157n	CP-933O	359	243	ecoli_O157	31	31	alignments/260-243.xfma.png
Sp8	376	260	ecoli_O157n	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	34	34	alignments/260-211.xfma.png
Sp8	376	260	ecoli_O157n	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	34	34	alignments/260-210.xfma.png
Sp8	376	260	ecoli_O157n	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	34	34	alignments/260-209.xfma.png
Sp9	377	261	ecoli_O157n	Sp10	378	262	ecoli_O157n	48	48	alignments/261-262.xfma.png
Sp9	377	261	ecoli_O157n	Sp12	380	264	ecoli_O157n	56	55	alignments/261-264.xfma.png
Sp10	378	262	ecoli_O157n	Sp12	380	264	ecoli_O157n	59	59	alignments/262-264.xfma.png
Sp10	378	262	ecoli_O157n	CP-933O	359	243	ecoli_O157	32	32	alignments/262-243.xfma.png
Sp10	378	262	ecoli_O157n	Sp11	379	263	ecoli_O157n	34	34	alignments/262-263.xfma.png
Sp11	379	263	ecoli_O157n	Sp14	382	266	ecoli_O157n	52	52	alignments/263-266.xfma.png
Sp11	379	263	ecoli_O157n	CP-933X	357	241	ecoli_O157	32	32	alignments/263-241.xfma.png
Sp11	379	263	ecoli_O157n	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	38	38	alignments/263-212.xfma.png
Sp11	379	263	ecoli_O157n	Sp15	383	267	ecoli_O157n	32	32	alignments/263-267.xfma.png
Sp11	379	263	ecoli_O157n	Sp12	380	264	ecoli_O157n	39	39	alignments/263-264.xfma.png
Sp11	379	263	ecoli_O157n	Sp9	377	261	ecoli_O157n	36	36	alignments/263-261.xfma.png
Sp11	379	263	ecoli_O157n	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	40	40	alignments/263-211.xfma.png
Sp11	379	263	ecoli_O157n	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	40	40	alignments/263-209.xfma.png
Sp11	379	263	ecoli_O157n	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	40	40	alignments/263-210.xfma.png
Sp12	380	264	ecoli_O157n	Sp14	382	266	ecoli_O157n	40	40	alignments/264-266.xfma.png
Sp12	380	264	ecoli_O157n	CP-933X	357	241	ecoli_O157	32	32	alignments/264-241.xfma.png
Sp14	382	266	ecoli_O157n	Sp15	383	267	ecoli_O157n	30	30	alignments/266-267.xfma.png
Sp14	382	266	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	35	35	alignments/266-204.xfma.png
Sp14	382	266	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	35	35	alignments/266-203.xfma.png
Sp14	382	266	ecoli_O157n	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	56	56	alignments/266-210.xfma.png
Sp14	382	266	ecoli_O157n	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	56	56	alignments/266-211.xfma.png
Sp14	382	266	ecoli_O157n	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	56	56	alignments/266-209.xfma.png
Sp14	382	266	ecoli_O157n	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	33	33	alignments/266-201.xfma.png
Sp14	382	266	ecoli_O157n	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	31	31	alignments/266-200.xfma.png
Sp14	382	266	ecoli_O157n	Sp10	378	262	ecoli_O157n	31	31	alignments/266-262.xfma.png
Sp14	382	266	ecoli_O157n	Sp9	377	261	ecoli_O157n	38	38	alignments/266-261.xfma.png
SpLE2	364	248	ecoli_O157n	SpLE1	363	247	ecoli_O157n	57	57	alignments/248-247.xfma.png
Sp15	383	267	ecoli_O157n	CP-933O	359	243	ecoli_O157	41	41	alignments/267-243.xfma.png
Sp15	383	267	ecoli_O157n	BP-933W	355	239	ecoli_O157	33	33	alignments/267-239.xfma.png
Sp15	383	267	ecoli_O157n	Sp5	373	257	ecoli_O157n	32	32	alignments/267-257.xfma.png
Sp15	383	267	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	32	32	alignments/267-203.xfma.png
Sp15	383	267	ecoli_O157n	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	32	32	alignments/267-204.xfma.png
Sp3	371	255	ecoli_O157n	Sp15	383	267	ecoli_O157n	36	36	alignments/255-267.xfma.png
370.3	418	302	streppyo	370.3-like	395	279	spyoMGAS	92	92	alignments/302-279.xfma.png
370.3	418	302	streppyo	315.3	422	306	streppyo315	79	79	alignments/302-306.xfma.png
370.1	416	300	streppyo	315.4	423	307	streppyo315	52	52	alignments/300-307.xfma.png
370.1	416	300	streppyo	sda	391	275	spyoMGAS	53	53	alignments/300-275.xfma.png
370.2	417	301	streppyo	speL/M	394	278	spyoMGAS	56	56	alignments/301-278.xfma.png
SaPIn3 (cGI2)	405	289	staaur_n314	SaPIn3 (cGI1)	398	282	staaur_mu50	100	100	alignments/289-282.xfma.png
phiN315	407	291	staaur_n314	phiSa3mu (cGI1)	401	285	staaur_mu50	81	81	alignments/291-285.xfma.png
phiN315	407	291	staaur_n314	phiSa3mu (cGI2)	410	294	staaurmw2	48	48	alignments/291-294.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPIn1 (cGI1)	399	283	staaur_mu50	100	100	alignments/290-283.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	72	72	alignments/290-224.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	72	72	alignments/290-225.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	72	72	alignments/290-226.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	33	33	alignments/290-221.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	33	33	alignments/290-222.xfma.png
SaPIn1 (cGI2)	406	290	staaur_n314	SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	33	33	alignments/290-223.xfma.png
SCCmec-2 (cGI2)	403	287	staaur_n314	SCCmec-2 (cGI1)	396	280	staaur_mu50	99	99	alignments/287-280.xfma.png
SCCmec-2 (cGI2)	403	287	staaur_n314	SCCmec-2 (cGI3)	408	292	staaurmw2	35	33	alignments/287-292.xfma.png
SaPIn2 (cGI2)	404	288	staaur_n314	SaPIn2 (cGI1)	397	281	staaur_mu50	99	96	alignments/288-281.xfma.png
phiSa3mu (cGI1)	401	285	staaur_mu50	phiSa3mu (cGI2)	410	294	staaurmw2	56	56	alignments/285-294.xfma.png
SaPIn1 (cGI1)	399	283	staaur_mu50	SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	52	52	alignments/283-224.xfma.png
SaPIn1 (cGI1)	399	283	staaur_mu50	SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	52	52	alignments/283-225.xfma.png
SaPIn1 (cGI1)	399	283	staaur_mu50	SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	52	52	alignments/283-226.xfma.png
SCCmec-2 (cGI1)	396	280	staaur_mu50	SCCmec-2 (cGI3)	408	292	staaurmw2	47	40	alignments/280-292.xfma.png
PPI-1 (cGI2)	415	299	strepneu_tigr4	PPI-1 (cGI1)	414	298	strepneu_r6	73	73	alignments/299-298.xfma.png
HPI-1	451	335	ypest	HPI	448	332	yerpk	100	100	alignments/335-332.xfma.png
HPI-1	451	335	ypest	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	88	88	alignments/335-201.xfma.png
HPI-1	451	335	ypest	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	88	88	alignments/335-200.xfma.png
HPI-1	451	335	ypest	PAI-CFT073-asnT (HPI) (cGI3)	280	202	Escherichia coli UPEC 26-1	88	88	alignments/335-202.xfma.png
T3SS (cGI2)	450	334	ypest	T3SS (cGI1)	449	333	yerpk	100	100	alignments/334-333.xfma.png
gifsy-2	442	326	styphium	gifsy-1	443	327	styphium	46	46	alignments/326-327.xfma.png
SPI5 (cGI2)	440	324	styphium	SPI5 (cGI1)	430	314	styphi	100	100	alignments/324-314.xfma.png
SPI5 (cGI2)	440	324	styphium	SPI-4 (cGI1)	172	161	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	85	85	alignments/324-161.xfma.png
SPI2 (cGI2)	437	321	styphium	SPI-2 (cGI2)	167	156	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	100	100	alignments/321-156.xfma.png
SPI2 (cGI2)	437	321	styphium	SPI-2 (cGI3)	168	157	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/321-157.xfma.png
SPI2 (cGI2)	437	321	styphium	SPI-2 (cGI1)	166	155	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	85	85	alignments/321-155.xfma.png
SPI2 (cGI2)	437	321	styphium	SPI2 (cGI1)	427	311	styphi	99	99	alignments/321-311.xfma.png
fels-2	444	328	styphium	SPI7	432	316	styphi	71	71	alignments/328-316.xfma.png
SPI1 (cGI2)	436	320	styphium	SPI1 (cGI1)	426	310	styphi	93	93	alignments/320-310.xfma.png
SPI6 (cGI2)	441	325	styphium	SPI-6/SPI-CI (cGI1)	178	167	Salmonella enterica subsp. enterica serovar Typhimurium strain SL1344 chromosome	99	99	alignments/325-167.xfma.png
SPI6 (cGI2)	441	325	styphium	SPI6 (cGI1)	431	315	styphi	86	83	alignments/325-315.xfma.png
SPI3 (cGI2)	438	322	styphium	SPI-3 (cGI3)	171	160	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	47	47	alignments/322-160.xfma.png
SPI3 (cGI2)	438	322	styphium	SPI-3 (cGI2)	170	159	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	47	47	alignments/322-159.xfma.png
SPI3 (cGI2)	438	322	styphium	SPI3 (cGI1)	428	312	styphi	41	41	alignments/322-312.xfma.png
SPI4 (cGI2)	439	323	styphium	SPI-4 (cGI2)	173	162	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	100	100	alignments/323-162.xfma.png
