qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
AY963803.6	AY463797.8	89.262	149	14	1	36489	36637	31379	31525	1.26e-44	185
AY963803.6	MF372717.1	99.381	11628	72	0	9118	20745	7800	19427	0.0	21075
AY963803.6	MF372717.1	99.884	6894	8	0	36638	43531	19423	26316	0.0	12687
AY963803.6	MF372717.1	94.507	6353	312	35	6	6339	208	6542	0.0	9764
AY963803.6	MF372717.1	99.913	1150	1	0	31582	32731	41237	40088	0.0	2119
AY963803.6	MF372717.1	99.724	1088	3	0	21013	22100	44199	43112	0.0	1993
AY963803.6	MF372717.1	99.903	1034	1	0	33492	34525	40088	39055	0.0	1905
AY963803.6	MF372717.1	100.000	983	0	0	23182	24164	41693	40711	0.0	1816
AY963803.6	MF372717.1	99.358	467	3	0	43960	44426	56044	56510	0.0	846
AY963803.6	MF372717.1	99.282	418	3	0	31166	31583	43551	43134	0.0	756
AY963803.6	MF372717.1	100.000	123	0	0	33370	33492	39056	39178	2.07e-57	228
AY963803.6	MF372717.1	89.262	149	14	1	36489	36637	39202	39056	1.26e-44	185
AY963803.6	MF372717.1	100.000	91	0	0	20744	20834	26315	26405	1.27e-39	169
AY963803.6	FQ312003.1	98.664	2619	33	2	44513	47130	4075294	4077911	0.0	4641
AY963803.6	FQ312003.1	99.226	1163	9	0	1	1163	4069729	4070891	0.0	2098
AY963803.6	FQ312003.1	100.000	32	0	0	44475	44506	473019	472988	8.00e-07	60.2
AY963803.6	CP014051.2	98.664	2619	33	2	44513	47130	1603341	1600724	0.0	4641
AY963803.6	CP014051.2	99.226	1163	9	0	1	1163	1608909	1607747	0.0	2098
AY963803.6	CP014051.2	100.000	32	0	0	44475	44506	326354	326385	8.00e-07	60.2
AY963803.6	AF326777.3	99.413	1362	4	2	20741	22099	19334	17974	0.0	2468
AY963803.6	AF326777.3	99.050	421	1	1	31166	31583	18415	17995	0.0	752
AY963803.6	AF326777.3	100.000	30	0	0	23182	23211	16120	16091	1.03e-05	56.5
AY963803.6	CP001969.1	84.165	1162	182	2	3	1163	4261499	4262659	0.0	1125
AY963803.6	CP001969.1	74.960	2512	574	49	44625	47112	4266100	4268580	0.0	1103
CP001969.1	CP001969.1	100.000	5108383	0	0	1	5108383	1	5108383	0.0	9.433e+06
CP001969.1	CP001969.1	99.573	5388	18	5	4568129	4573511	4315209	4320596	0.0	9817
CP001969.1	CP001969.1	99.573	5388	18	5	4315209	4320596	4568129	4573511	0.0	9817
CP001969.1	CP001969.1	99.445	5407	21	8	4315195	4320596	3029246	3023844	0.0	9810
CP001969.1	CP001969.1	99.445	5407	21	8	3023844	3029246	4320596	4315195	0.0	9810
CP001969.1	CP001969.1	99.427	5410	20	10	4568147	4573547	3029215	3023808	0.0	9808
CP001969.1	CP001969.1	99.427	5410	20	10	3023808	3029215	4573547	4568147	0.0	9808
CP001969.1	CP001969.1	99.280	5417	29	10	3794526	3799934	233550	228136	0.0	9779
CP001969.1	CP001969.1	99.280	5417	29	10	228136	233550	3799934	3794526	0.0	9779
CP001969.1	CP001969.1	99.942	5165	3	0	4608512	4613676	4568343	4573507	0.0	9522
CP001969.1	CP001969.1	99.942	5165	3	0	4568343	4573507	4608512	4613676	0.0	9522
CP001969.1	CP001969.1	98.893	5332	38	17	4433773	4439095	3799844	3794525	0.0	9500
CP001969.1	CP001969.1	98.893	5332	38	17	3794525	3799844	4439095	4433773	0.0	9500
CP001969.1	CP001969.1	99.691	5170	11	5	4608512	4613676	4315423	4320592	0.0	9454
CP001969.1	CP001969.1	99.691	5170	11	5	4315423	4320592	4608512	4613676	0.0	9454
CP001969.1	CP001969.1	98.632	5335	48	21	4433773	4439094	228228	233550	0.0	9424
CP001969.1	CP001969.1	98.632	5335	48	21	228228	233550	4433773	4439094	0.0	9424
CP001969.1	CP001969.1	99.517	5173	16	8	4608512	4613677	3029017	3023847	0.0	9406
CP001969.1	CP001969.1	99.517	5173	16	8	3023847	3029017	4613677	4608512	0.0	9406
CP001969.1	CP001969.1	97.586	4806	114	2	1453944	1458748	1304319	1309123	0.0	8231
CP001969.1	CP001969.1	97.586	4806	114	2	1304319	1309123	1453944	1458748	0.0	8231
CP001969.1	CP001969.1	85.304	7172	914	104	1462495	1469605	587274	594366	0.0	7276
CP001969.1	CP001969.1	85.306	7173	912	107	587274	594366	1462495	1469605	0.0	7276
CP001969.1	CP001969.1	94.648	4559	232	12	5063115	5067668	592379	596930	0.0	7057
CP001969.1	CP001969.1	94.648	4559	232	12	592379	596930	5063115	5067668	0.0	7057
CP001969.1	CP001969.1	94.053	4305	239	16	5063181	5067476	2117024	2112728	0.0	6516
CP001969.1	CP001969.1	93.646	4375	253	22	2112728	2117090	5067476	5063115	0.0	6516
CP001969.1	CP001969.1	93.596	4372	262	16	2112728	2117091	596739	592378	0.0	6506
CP001969.1	CP001969.1	93.597	4373	260	18	592378	596739	2117091	2112728	0.0	6506
CP001969.1	CP001969.1	94.879	4140	209	3	1470060	1474197	594403	598541	0.0	6468
CP001969.1	CP001969.1	94.879	4140	209	3	594403	598541	1470060	1474197	0.0	6468
CP001969.1	CP001969.1	99.407	3375	7	7	4317343	4320715	230306	233669	0.0	6109
CP001969.1	CP001969.1	99.407	3375	7	7	230306	233669	4317343	4320715	0.0	6109
CP001969.1	CP001969.1	99.785	3257	7	0	4570263	4573519	4435846	4439102	0.0	5976
CP001969.1	CP001969.1	99.785	3257	7	0	4435846	4439102	4570263	4573519	0.0	5976
CP001969.1	CP001969.1	99.815	3246	6	0	4610432	4613677	4435846	4439091	0.0	5962
CP001969.1	CP001969.1	99.815	3246	6	0	4435846	4439091	4610432	4613677	0.0	5962
CP001969.1	CP001969.1	99.570	3254	5	4	3023844	3027097	233550	230306	0.0	5923
CP001969.1	CP001969.1	99.570	3254	5	4	230306	233550	3027097	3023844	0.0	5923
CP001969.1	CP001969.1	98.795	3320	29	10	4435846	4439156	3027097	3023780	0.0	5899
CP001969.1	CP001969.1	98.795	3320	29	10	3023780	3027097	4439156	4435846	0.0	5899
CP001969.1	CP001969.1	99.355	3254	16	5	4435846	4439094	4317343	4320596	0.0	5888
CP001969.1	CP001969.1	99.355	3254	16	5	4317343	4320596	4435846	4439094	0.0	5888
CP001969.1	CP001969.1	99.385	3253	6	8	4570263	4573512	3797766	3794525	0.0	5884
CP001969.1	CP001969.1	99.385	3253	6	8	3794525	3797766	4573512	4570263	0.0	5884
CP001969.1	CP001969.1	99.384	3248	6	8	4610432	4613676	3797766	3794530	0.0	5875
CP001969.1	CP001969.1	99.384	3248	6	8	3794530	3797766	4613676	4610432	0.0	5875
CP001969.1	CP001969.1	95.303	3683	167	3	1312431	1316110	586772	590451	0.0	5838
CP001969.1	CP001969.1	95.303	3683	167	3	586772	590451	1312431	1316110	0.0	5838
CP001969.1	CP001969.1	99.079	3256	15	10	3794525	3797766	3023843	3027097	0.0	5832
CP001969.1	CP001969.1	99.079	3256	15	10	3023843	3027097	3794525	3797766	0.0	5832
CP001969.1	CP001969.1	98.956	3256	16	12	4570263	4573511	230306	233550	0.0	5808
CP001969.1	CP001969.1	98.956	3257	15	13	4317343	4320596	3797766	3794526	0.0	5808
CP001969.1	CP001969.1	98.956	3257	15	13	3794526	3797766	4320596	4317343	0.0	5808
CP001969.1	CP001969.1	98.956	3256	16	12	230306	233550	4570263	4573511	0.0	5808
CP001969.1	CP001969.1	98.954	3252	16	12	4610432	4613676	230306	233546	0.0	5801
CP001969.1	CP001969.1	98.954	3252	16	12	230306	233546	4610432	4613676	0.0	5801
CP001969.1	CP001969.1	96.161	3464	132	1	5043390	5046853	568440	571902	0.0	5659
CP001969.1	CP001969.1	96.161	3464	132	1	568440	571902	5043390	5046853	0.0	5659
CP001969.1	CP001969.1	95.515	3411	144	7	1319794	1323200	594128	597533	0.0	5443
CP001969.1	CP001969.1	95.515	3411	144	7	594128	597533	1319794	1323200	0.0	5443
CP001969.1	CP001969.1	95.740	3263	136	3	1316306	1319567	590665	593925	0.0	5252
CP001969.1	CP001969.1	95.740	3263	136	3	590665	593925	1316306	1319567	0.0	5252
CP001969.1	CP001969.1	94.604	3132	168	1	1470060	1473190	1320069	1323200	0.0	4846
CP001969.1	CP001969.1	94.604	3132	168	1	1320069	1323200	1470060	1473190	0.0	4846
CP001969.1	CP001969.1	95.513	2808	117	7	5064865	5067668	1319794	1322596	0.0	4479
CP001969.1	CP001969.1	95.513	2808	117	7	1319794	1322596	5064865	5067668	0.0	4479
CP001969.1	CP001969.1	99.499	2394	10	2	2884274	2886666	2715140	2717532	0.0	4353
CP001969.1	CP001969.1	99.499	2394	10	2	2715140	2717532	2884274	2886666	0.0	4353
CP001969.1	CP001969.1	91.219	3200	275	4	2132816	2136014	1447301	1444107	0.0	4348
CP001969.1	CP001969.1	91.219	3200	275	4	1444107	1447301	2136014	2132816	0.0	4348
CP001969.1	CP001969.1	90.742	3273	268	25	1465922	1469173	1316312	1319570	0.0	4333
CP001969.1	CP001969.1	90.748	3275	264	28	1316312	1319570	1465922	1469173	0.0	4333
CP001969.1	CP001969.1	97.916	2447	47	4	1302024	1304467	576588	579033	0.0	4233
CP001969.1	CP001969.1	97.916	2447	47	4	576588	579033	1302024	1304467	0.0	4233
CP001969.1	CP001969.1	93.506	2849	179	5	1458708	1461553	1309115	1311960	0.0	4231
CP001969.1	CP001969.1	93.506	2849	179	5	1309115	1311960	1458708	1461553	0.0	4231
CP001969.1	CP001969.1	90.524	3166	263	29	2257126	2260273	389330	386184	0.0	4150
CP001969.1	CP001969.1	90.364	3186	272	27	386184	389351	2260273	2257105	0.0	4150
CP001969.1	CP001969.1	95.817	2558	107	0	2112783	2115340	1322351	1319794	0.0	4132
CP001969.1	CP001969.1	95.783	2561	108	0	1319797	1322357	2115337	2112777	0.0	4132
CP001969.1	CP001969.1	96.434	2468	87	1	3081785	3084252	571902	569436	0.0	4069
CP001969.1	CP001969.1	96.471	2465	86	1	569439	571902	3084249	3081785	0.0	4069
CP001969.1	CP001969.1	96.064	2490	98	0	5065140	5067629	1470060	1472549	0.0	4056
CP001969.1	CP001969.1	96.064	2490	98	0	1470060	1472549	5065140	5067629	0.0	4056
CP001969.1	CP001969.1	95.578	2465	109	0	5044392	5046856	3084246	3081782	0.0	3949
CP001969.1	CP001969.1	95.508	2471	111	0	3081782	3084252	5046856	5044386	0.0	3949
CP001969.1	CP001969.1	96.670	2342	77	1	3089933	3092273	562812	560471	0.0	3892
CP001969.1	CP001969.1	96.670	2342	77	1	560471	562812	3092273	3089933	0.0	3892
CP001969.1	CP001969.1	96.259	2379	66	8	3085850	3088206	568443	566066	0.0	3879
CP001969.1	CP001969.1	96.259	2379	66	8	566066	568443	3088206	3085850	0.0	3879
CP001969.1	CP001969.1	92.213	2684	193	12	2109370	2112046	599877	597203	0.0	3784
CP001969.1	CP001969.1	92.357	2669	188	12	597221	599880	2112028	2109367	0.0	3784
CP001969.1	CP001969.1	94.998	2339	114	3	2112728	2115065	1472396	1470060	0.0	3668
CP001969.1	CP001969.1	94.998	2339	114	3	1470060	1472396	2115065	2112728	0.0	3668
CP001969.1	CP001969.1	99.184	1961	13	3	4433616	4435573	4315203	4317163	0.0	3530
CP001969.1	CP001969.1	99.184	1961	13	3	4315203	4317163	4433616	4435573	0.0	3530
CP001969.1	CP001969.1	96.643	2115	69	2	2136782	2138895	1441630	1439517	0.0	3511
CP001969.1	CP001969.1	96.558	2121	71	2	1439517	1441636	2138895	2136776	0.0	3511
CP001969.1	CP001969.1	99.028	1955	16	3	4568129	4570083	4433622	4435573	0.0	3502
CP001969.1	CP001969.1	99.028	1955	16	3	4433622	4435573	4568129	4570083	0.0	3502
CP001969.1	CP001969.1	99.579	1901	7	1	4608352	4610252	228134	230033	0.0	3465
CP001969.1	CP001969.1	96.432	2102	73	2	5036152	5038252	560456	562556	0.0	3465
CP001969.1	CP001969.1	99.579	1901	7	1	228134	230033	4608352	4610252	0.0	3465
CP001969.1	CP001969.1	96.432	2102	73	2	560456	562556	5036152	5038252	0.0	3465
CP001969.1	CP001969.1	98.420	1962	25	6	4433617	4435573	3029237	3027277	0.0	3446
CP001969.1	CP001969.1	98.420	1962	25	6	3027277	3029237	4435573	4433617	0.0	3446
CP001969.1	CP001969.1	97.333	2025	54	0	5042174	5044198	3086419	3084395	0.0	3441
CP001969.1	CP001969.1	97.333	2025	54	0	3084395	3086419	5044198	5042174	0.0	3441
CP001969.1	CP001969.1	96.357	2086	75	1	5036167	5038252	3092273	3090189	0.0	3430
CP001969.1	CP001969.1	96.357	2086	75	1	3090189	3092273	5038252	5036167	0.0	3430
CP001969.1	CP001969.1	98.368	1900	26	5	4608354	4610252	3799934	3798039	0.0	3332
CP001969.1	CP001969.1	98.368	1900	26	5	3798039	3799934	4610252	4608354	0.0	3332
CP001969.1	CP001969.1	99.713	1741	4	1	4568343	4570083	228294	230033	0.0	3186
CP001969.1	CP001969.1	99.713	1741	4	1	4568343	4570083	3799778	3798039	0.0	3186
CP001969.1	CP001969.1	99.713	1741	4	1	228294	230033	4568343	4570083	0.0	3186
CP001969.1	CP001969.1	99.713	1741	4	1	3798039	3799778	4570083	4568343	0.0	3186
CP001969.1	CP001969.1	99.655	1741	5	1	3027277	3029017	230033	228294	0.0	3181
CP001969.1	CP001969.1	99.655	1741	5	1	3798039	3799778	3027277	3029017	0.0	3181
CP001969.1	CP001969.1	99.655	1741	5	1	228294	230033	3029017	3027277	0.0	3181
CP001969.1	CP001969.1	99.655	1741	5	1	3027277	3029017	3798039	3799778	0.0	3181
CP001969.1	CP001969.1	99.540	1741	7	1	4315423	4317163	228294	230033	0.0	3169
CP001969.1	CP001969.1	99.540	1741	7	1	4315423	4317163	3799778	3798039	0.0	3169
CP001969.1	CP001969.1	99.540	1741	7	1	228294	230033	4315423	4317163	0.0	3169
CP001969.1	CP001969.1	99.540	1741	7	1	3798039	3799778	4317163	4315423	0.0	3169
CP001969.1	CP001969.1	98.064	1808	27	8	4608446	4610252	4433773	4435573	0.0	3138
CP001969.1	CP001969.1	98.064	1808	27	8	4433773	4435573	4608446	4610252	0.0	3138
CP001969.1	CP001969.1	99.514	1646	8	0	2910865	2912510	2752498	2750853	0.0	2996
CP001969.1	CP001969.1	99.454	1649	9	0	2750853	2752501	2912510	2910862	0.0	2996
CP001969.1	CP001969.1	86.777	2594	305	35	2142954	2145533	1436759	1434190	0.0	2856
CP001969.1	CP001969.1	86.803	2599	295	42	1434190	1436759	2145533	2142954	0.0	2856
CP001969.1	CP001969.1	93.564	1818	117	0	1589340	1591157	1587723	1589540	0.0	2710
CP001969.1	CP001969.1	93.571	1820	113	4	1587723	1589540	1589340	1591157	0.0	2710
CP001969.1	CP001969.1	91.204	2001	145	27	5063115	5065103	1467624	1469605	0.0	2691
CP001969.1	CP001969.1	91.204	2001	145	27	1467624	1469605	5063115	5065103	0.0	2691
CP001969.1	CP001969.1	95.104	1675	78	4	1641363	1643035	264386	266058	0.0	2636
CP001969.1	CP001969.1	95.104	1675	78	4	264386	266058	1641363	1643035	0.0	2636
CP001969.1	CP001969.1	90.581	1996	169	17	2115102	2117091	1469605	1467623	0.0	2627
CP001969.1	CP001969.1	90.545	1999	170	17	1467623	1469608	2117091	2115099	0.0	2627
CP001969.1	CP001969.1	89.407	2039	196	15	5067895	5069924	597242	599269	0.0	2551
CP001969.1	CP001969.1	89.407	2039	196	15	597242	599269	5067895	5069924	0.0	2551
CP001969.1	CP001969.1	93.814	1665	103	0	5038718	5040382	3089284	3087620	0.0	2505
CP001969.1	CP001969.1	93.765	1668	104	0	3087620	3089287	5040382	5038715	0.0	2505
CP001969.1	CP001969.1	88.981	2042	195	23	5067898	5069924	2112004	2109978	0.0	2497
CP001969.1	CP001969.1	88.949	2045	196	23	2109978	2112007	5069924	5067895	0.0	2497
CP001969.1	CP001969.1	96.483	1507	47	4	4045853	4047356	1674499	1676002	0.0	2484
CP001969.1	CP001969.1	96.483	1507	47	4	1674499	1676002	4045853	4047356	0.0	2484
CP001969.1	CP001969.1	95.908	1515	50	4	2293594	2295102	1180870	1182378	0.0	2444
CP001969.1	CP001969.1	95.908	1515	50	4	1180870	1182378	2293594	2295102	0.0	2444
CP001969.1	CP001969.1	94.084	1589	85	9	607573	609157	604201	605784	0.0	2405
CP001969.1	CP001969.1	94.084	1589	85	9	604201	605784	607573	609157	0.0	2405
CP001969.1	CP001969.1	95.903	1489	43	17	2213523	2215002	2207870	2209349	0.0	2396
CP001969.1	CP001969.1	95.906	1490	41	18	2207870	2209349	2213523	2215002	0.0	2396
CP001969.1	CP001969.1	92.908	1551	106	3	2115543	2117091	1319567	1318019	0.0	2252
CP001969.1	CP001969.1	92.857	1554	107	3	1318019	1319570	2117091	2115540	0.0	2252
CP001969.1	CP001969.1	92.595	1553	105	10	5063115	5064662	1318020	1319567	0.0	2222
CP001969.1	CP001969.1	92.595	1553	105	10	1318020	1319567	5063115	5064662	0.0	2222
CP001969.1	CP001969.1	79.034	3210	595	59	1462495	1465680	1312933	1316088	0.0	2128
CP001969.1	CP001969.1	79.034	3210	595	59	1312933	1316088	1462495	1465680	0.0	2128
CP001969.1	CP001969.1	98.820	1186	14	0	4577524	4578709	3842233	3841048	0.0	2113
CP001969.1	CP001969.1	98.820	1186	14	0	3841048	3842233	4578709	4577524	0.0	2113
CP001969.1	CP001969.1	97.991	1145	23	0	2107967	2109111	601277	600133	0.0	1988
CP001969.1	CP001969.1	97.991	1145	23	0	600133	601277	2109111	2107967	0.0	1988
CP001969.1	CP001969.1	97.870	1127	20	3	1477959	1479083	601302	602426	0.0	1945
CP001969.1	CP001969.1	97.870	1127	20	3	601302	602426	1477959	1479083	0.0	1945
CP001969.1	CP001969.1	86.048	1799	233	11	3652387	3654171	1139343	1137549	0.0	1916
CP001969.1	CP001969.1	86.048	1799	233	11	1137549	1139343	3654171	3652387	0.0	1916
CP001969.1	CP001969.1	93.170	1303	89	0	1589266	1590568	1588825	1590127	0.0	1914
CP001969.1	CP001969.1	93.170	1303	89	0	1588825	1590127	1589266	1590568	0.0	1914
CP001969.1	CP001969.1	86.878	1707	206	17	2070925	2072621	1301049	1299351	0.0	1895
CP001969.1	CP001969.1	86.878	1707	206	17	1299351	1301049	2072621	2070925	0.0	1895
CP001969.1	CP001969.1	75.856	3827	839	78	4475005	4478790	1662194	1658412	0.0	1869
CP001969.1	CP001969.1	75.914	3803	831	79	1658436	1662194	4478766	4475005	0.0	1869
CP001969.1	CP001969.1	93.899	1213	74	0	1588915	1590127	1587739	1588951	0.0	1831
CP001969.1	CP001969.1	93.904	1214	72	2	1587739	1588951	1588915	1590127	0.0	1831
CP001969.1	CP001969.1	90.240	1332	124	4	2110709	2112037	1474197	1472869	0.0	1735
CP001969.1	CP001969.1	89.874	1353	131	4	1472878	1474227	2112028	2110679	0.0	1735
CP001969.1	CP001969.1	87.793	1450	166	10	1450582	1452025	575138	576582	0.0	1687
CP001969.1	CP001969.1	87.802	1451	164	12	575138	576582	1450582	1452025	0.0	1687
CP001969.1	CP001969.1	89.379	1337	132	8	5067862	5069193	1472866	1474197	0.0	1674
CP001969.1	CP001969.1	89.379	1337	132	8	1472866	1474197	5067862	5069193	0.0	1674
CP001969.1	CP001969.1	96.440	927	32	1	1477963	1478888	606664	607590	0.0	1528
CP001969.1	CP001969.1	96.440	927	32	1	606664	607590	1477963	1478888	0.0	1528
CP001969.1	CP001969.1	93.867	1011	57	4	2292595	2293603	1179796	1180803	0.0	1519
CP001969.1	CP001969.1	93.867	1011	57	4	1179796	1180803	2292595	2293603	0.0	1519
CP001969.1	CP001969.1	96.017	929	32	3	606664	607590	601306	602231	0.0	1506
CP001969.1	CP001969.1	96.017	929	32	3	601306	602231	606664	607590	0.0	1506
CP001969.1	CP001969.1	95.706	885	35	3	4079896	4080779	4079414	4080296	0.0	1421
CP001969.1	CP001969.1	95.706	885	35	3	4079414	4080296	4079896	4080779	0.0	1421
CP001969.1	CP001969.1	99.480	769	4	0	1875298	1876066	968479	969247	0.0	1399
CP001969.1	CP001969.1	99.480	769	4	0	968479	969247	1875298	1876066	0.0	1399
CP001969.1	CP001969.1	96.822	818	26	0	3084386	3085203	569257	568440	0.0	1367
CP001969.1	CP001969.1	96.822	818	26	0	568440	569257	3085203	3084386	0.0	1367
CP001969.1	CP001969.1	91.001	989	89	0	2129676	2130664	577024	576036	0.0	1334
CP001969.1	CP001969.1	91.001	989	89	0	576036	577024	2130664	2129676	0.0	1334
CP001969.1	CP001969.1	93.619	862	55	0	1589707	1590568	1588825	1589686	0.0	1288
CP001969.1	CP001969.1	93.619	862	55	0	1588825	1589686	1589707	1590568	0.0	1288
CP001969.1	CP001969.1	82.297	1463	259	0	2192015	2193477	2147888	2149350	0.0	1267
CP001969.1	CP001969.1	82.333	1466	253	4	2147888	2149350	2192015	2193477	0.0	1267
CP001969.1	CP001969.1	80.669	1614	310	2	4770096	4771708	1763741	1765353	0.0	1251
CP001969.1	CP001969.1	80.681	1615	308	4	1763741	1765353	4770096	4771708	0.0	1251
CP001969.1	CP001969.1	95.484	775	34	1	3654414	3655187	1137560	1136786	0.0	1236
CP001969.1	CP001969.1	95.484	775	34	1	1136786	1137560	3655187	3654414	0.0	1236
CP001969.1	CP001969.1	94.410	805	37	2	5047654	5048450	2131840	2131036	0.0	1230
CP001969.1	CP001969.1	93.902	820	42	2	2131036	2131855	5048450	5047639	0.0	1230
CP001969.1	CP001969.1	92.111	862	68	0	1588825	1589686	1588090	1588951	0.0	1216
CP001969.1	CP001969.1	92.121	863	66	2	1588090	1588951	1588825	1589686	0.0	1216
CP001969.1	CP001969.1	92.271	841	64	1	5048233	5049073	1301295	1302134	0.0	1192
CP001969.1	CP001969.1	92.271	841	64	1	1301295	1302134	5048233	5049073	0.0	1192
CP001969.1	CP001969.1	90.724	884	82	0	3080046	3080929	2736658	2737541	0.0	1179
CP001969.1	CP001969.1	90.724	884	82	0	2736658	2737541	3080046	3080929	0.0	1179
CP001969.1	CP001969.1	92.776	789	55	2	1589781	1590568	1587723	1588510	0.0	1140
CP001969.1	CP001969.1	92.766	788	57	0	1587723	1588510	1589781	1590568	0.0	1140
CP001969.1	CP001969.1	80.026	1542	294	13	4777594	4779128	3365397	3366931	0.0	1129
CP001969.1	CP001969.1	80.000	1540	298	10	3365397	3366931	4777594	4779128	0.0	1129
CP001969.1	CP001969.1	92.025	790	59	4	1588164	1588951	1587723	1588510	0.0	1107
CP001969.1	CP001969.1	92.005	788	63	0	1587723	1588510	1588164	1588951	0.0	1107
CP001969.1	CP001969.1	73.427	3146	747	78	3786065	3789164	487821	484719	0.0	1096
CP001969.1	CP001969.1	73.427	3146	747	78	484719	487821	3789164	3786065	0.0	1096
CP001969.1	CP001969.1	75.846	2128	484	27	3639105	3641217	998894	1001006	0.0	1055
CP001969.1	CP001969.1	75.869	2130	480	31	998894	1001006	3639105	3641217	0.0	1055
CP001969.1	CP001969.1	96.339	601	21	1	5048957	5049557	2737085	2736486	0.0	987
CP001969.1	CP001969.1	96.339	601	21	1	2736486	2737085	5049557	5048957	0.0	987
CP001969.1	CP001969.1	97.368	570	15	0	5042174	5042743	567874	568443	0.0	970
