X14993.1	X14993.1	100	100
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	NC_003210.1_2361897_2402366_A118	56	56
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	A118_1_40834	48	48
A500_1_38867	PSA_1_37618	6	6
A500_1_38867	PSA_1_37618	6	6
A500_1_38867	PSA_1_37618	6	6
A500_1_38867	PSA_1_37618	6	6
A500_1_38867	PSA_1_37618	6	6
A500_1_38867	A006_1_38124	7	7
A500_1_38867	A006_1_38124	7	7
A500_1_38867	A006_1_38124	7	7
A500_1_38867	A006_1_38124	7	7
A500_1_38867	A006_1_38124	7	7
A500_1_38867	A006_1_38124	7	7
A500_1_38867	phiLMC1_681092_714095	3	3
A500_1_38867	phiLMC1_681092_714095	3	3
A500_1_38867	B025_1_42653	1	1
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	A511_1_137619	100	100
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
A511_1_137619	P100_1_131384	95	93
AE005674.2_3051465_3077703	AE005674.2_3051465_3077703	100	100
AE005674.2_3051465_3077703	AE005674.2_3051465_3077703	100	100
AE005674.2_3051465_3077703	AE005674.2_3051465_3077703	100	100
AE005674.2_3051465_3077703	AE005674.2_3051465_3077703	100	100
AE005674.2_3051465_3077703	AF200692.2	99	99
AE005674.2_3051465_3077703	AF200692.2	99	99
AE005674.2_3051465_3077703	AF200692.2	99	99
AE005674.2_3051465_3077703	AF200692.2	99	99
AE005674.2_3051465_3077703	AF200692.2	99	99
AE005674.2_3051465_3077703	AF335540.1	13	13
AE005674.2_3051465_3077703	AF335540.1	13	13
AE005674.2_3051465_3077703	AF335540.1	13	13
AE005674.2_3051465_3077703	AF335540.1	13	13
AE005674.2_3051465_3077703	AF335540.1	13	13
AE005674.2_3051465_3077703	FQ312003.1	17	17
AE005674.2_3051465_3077703	FQ312003.1	17	17
AE005674.2_3051465_3077703	FQ312003.1	17	17
AE005674.2_3051465_3077703	CP014051.2	17	17
AE005674.2_3051465_3077703	CP014051.2	17	17
AE005674.2_3051465_3077703	CP014051.2	17	17
AE005674.2_3051465_3077703	NC_000913.1_262122_296489_CP4-6	7	7
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	NC_002695.1_3852036_3875489_SpLE3	16	14
AE005674.2_3051465_3077703	CP001969.1	10	10
AE005674.2_3051465_3077703	CP001969.1	10	10
AE005674.2_3051465_3077703	CP001969.1	10	10
AE005674.2_3051465_3077703	CP001969.1	10	10
AE005674.2_3051465_3077703	CP001969.1	10	10
AE005674.2_3051465_3077703	CP001969.1	10	10
AE005674.2_3051465_3077703	CP026799.1_4231581_4255351	9	8
AE005674.2_3051465_3077703	CP026799.1_4231581_4255351	9	8
AE005674.2_3051465_3077703	CP026799.1_4231581_4255351	9	8
AE005674.2_3051465_3077703	CP026799.1_4231581_4255351	9	8
AE005674.2_3051465_3077703	AF141323.1	9	8
AE005674.2_3051465_3077703	AF141323.1	9	8
AE005674.2_3051465_3077703	AF141323.1	9	8
AE005674.2_3051465_3077703	AF141323.1	9	8
AE005674.2_3051465_3077703	AE005674.2_3806404_3831722	8	8
AE005674.2_3051465_3077703	AE005674.2_3806404_3831722	8	8
AE005674.2_3051465_3077703	AE005674.2_3806404_3831722	8	8
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	AF326777.3	10	9
AE005674.2_3051465_3077703	NC_002695.1_5347085_5357319_SpLE5	5	5
AE005674.2_3051465_3077703	NC_002695.1_5347085_5357319_SpLE5	5	5
AE005674.2_3051465_3077703	NC_002695.1_2203952_2250093_Sp12	11	9
AE005674.2_3051465_3077703	NC_002695.1_2203952_2250093_Sp12	11	9
AE005674.2_3051465_3077703	NC_002695.1_2203952_2250093_Sp12	11	9
AE005674.2_3051465_3077703	NC_002695.1_2203952_2250093_Sp12	11	9
AE005674.2_3051465_3077703	NC_002695.1_2203952_2250093_Sp12	11	9
AE005674.2_3051465_3077703	NC_002695.1_3475965_3500163_Sp17	5	5
AE005674.2_3051465_3077703	NC_002695.1_3475965_3500163_Sp17	5	5
AE005674.2_3051465_3077703	NC_002695.1_2668007_2712035_Sp14	5	5
AE005674.2_3051465_3077703	NC_002695.1_2668007_2712035_Sp14	5	5
AE005674.2_3051465_3077703	NC_002695.1_1618153_1665049.Sp8	10	8
AE005674.2_3051465_3077703	NC_002695.1_1618153_1665049.Sp8	10	8
AE005674.2_3051465_3077703	NC_002695.1_1618153_1665049.Sp8	10	8
AE005674.2_3051465_3077703	NC_002695.1_1618153_1665049.Sp8	10	8
AE005674.2_3051465_3077703	NC_002695.1_1246012_1308719_Sp5	5	5
AE005674.2_3051465_3077703	NC_002695.1_1246012_1308719_Sp5	5	5
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002655.1_1849488_1927638_CP933O	11	9
AE005674.2_3051465_3077703	NC_002695.1_2895926_2943804_Sp15	5	5
AE005674.2_3051465_3077703	NC_002695.1_2895926_2943804_Sp15	5	5
AE005674.2_3051465_3077703	NC_002655.1_2116354_2165694_CP933R	5	5
AE005674.2_3051465_3077703	NC_002655.1_2116354_2165694_CP933R	5	5
AE005674.2_3051465_3077703	NC_002655.1_2743223_2788348_CP933U	5	5
AE005674.2_3051465_3077703	NC_002655.1_2743223_2788348_CP933U	5	5
AE005674.2_3051465_3077703	NC_002695.1_2738079_2751537_SpLE2	5	5
AE005674.2_3051465_3077703	NC_002695.1_2738079_2751537_SpLE2	5	5
AE005674.2_3051465_3077703	NC_002695.1_2592901_2614020_Sp13	4	4
AE005674.2_3051465_3077703	NC_002695.1_2592901_2614020_Sp13	4	4
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002695.1_1370456_1456704_SpLE1	13	11
AE005674.2_3051465_3077703	NC_002655.1_3550280_3558610_CP933Y	5	5
AE005674.2_3051465_3077703	NC_002655.1_3550280_3558610_CP933Y	5	5
AE005674.2_3051465_3077703	NC_002695.1_1161091_1210740_Sp4	9	7
AE005674.2_3051465_3077703	NC_002695.1_1161091_1210740_Sp4	9	7
AE005674.2_3051465_3077703	NC_002695.1_1161091_1210740_Sp4	9	7
AE005674.2_3051465_3077703	NC_002695.1_1161091_1210740_Sp4	9	7
AE005674.2_3051465_3077703	NC_002695.1_1757506_1815680_Sp9	6	4
AE005674.2_3051465_3077703	NC_002695.1_1757506_1815680_Sp9	6	4
AE005674.2_3051465_3077703	NC_002695.1_1757506_1815680_Sp9	6	4
AE005674.2_3051465_3077703	NC_002655.1_4648075_4694486_LEE	6	4
AE005674.2_3051465_3077703	NC_002655.1_4648075_4694486_LEE	6	4
AE005674.2_3051465_3077703	NC_002655.1_4648075_4694486_LEE	6	4
AE005674.2_3051465_3077703	NC_002655.1_1702185_1752784_CP933X	5	3
AE005674.2_3051465_3077703	NC_002655.1_1702185_1752784_CP933X	5	3
AE005674.2_3051465_3077703	NC_002695.1_4580864_4624313_SpLE4	6	4
AE005674.2_3051465_3077703	NC_002695.1_4580864_4624313_SpLE4	6	4
AE005674.2_3051465_3077703	NC_002695.1_4580864_4624313_SpLE4	6	4
AE005674.2_3051465_3077703	CP026845.1_2419450_2437624	2	2
AE005674.2_3051465_3077703	CP026845.1_2419450_2437624	2	2
AE005674.2_3051465_3077703	CP026845.1_2419450_2437624	2	2
AE005674.2_3051465_3077703	CP026845.1_2419450_2437624	2	2
AE005674.2_3051465_3077703	NC_003198.1_3131717_3139414_SPI8	3	3
AE005674.2_3051465_3077703	CP026877.1_3884431_3900752	1	1
AE005674.2_3051465_3077703	CP026877.1_3884431_3900752	1	1
AE005674.2_3051465_3077703	NC_002695.1_1541470_1589892_Sp6	1	1
AE005674.2_3051465_3077703	NC_011770.1_6127068_6164062	0	0
AE005674.2_3806404_3831722	AE005674.2_3806404_3831722	100	100
AE005674.2_3806404_3831722	AE005674.2_3806404_3831722	100	100
AE005674.2_3806404_3831722	AE005674.2_3806404_3831722	100	100
AE005674.2_3806404_3831722	AE005674.2_3806404_3831722	100	100
AE005674.2_3806404_3831722	AE005674.2_3806404_3831722	100	100
AE005674.2_3806404_3831722	CP026793.1_1719763_1732899	54	52
AE005674.2_3806404_3831722	CP026793.1_1719763_1732899	54	52
AE005674.2_3806404_3831722	CP012140.1_3879597_3892733	54	52
AE005674.2_3806404_3831722	CP012140.1_3879597_3892733	54	52
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89
AE005674.2_3806404_3831722	CP026799.1_4231581_4255351	96	89
AE005674.2_3806404_3831722	AF141323.1	96	89
AE005674.2_3806404_3831722	AF141323.1	96	89
AE005674.2_3806404_3831722	AF141323.1	96	89
AE005674.2_3806404_3831722	AF141323.1	96	89
AE005674.2_3806404_3831722	AF141323.1	96	89
AE005674.2_3806404_3831722	AF141323.1	96	89
AE005674.2_3806404_3831722	CP026845.1_2419450_2437624	40	40
AE005674.2_3806404_3831722	AF335540.1	43	43
AE005674.2_3806404_3831722	AF335540.1	43	43
AE005674.2_3806404_3831722	CP026877.1_3884431_3900752	40	40
AE005674.2_3806404_3831722	CP026877.1_3884431_3900752	40	40
AE005674.2_3806404_3831722	NC_002695.1_1370456_1456704_SpLE1	20	18
AE005674.2_3806404_3831722	NC_002695.1_1370456_1456704_SpLE1	20	18
AE005674.2_3806404_3831722	NC_002695.1_1370456_1456704_SpLE1	20	18
AE005674.2_3806404_3831722	NC_002695.1_1370456_1456704_SpLE1	20	18
AE005674.2_3806404_3831722	NC_002695.1_1370456_1456704_SpLE1	20	18
AE005674.2_3806404_3831722	NC_002695.1_1370456_1456704_SpLE1	20	18
AE005674.2_3806404_3831722	NC_002695.1_1541470_1589892_Sp6	10	5
AE005674.2_3806404_3831722	NC_002695.1_1541470_1589892_Sp6	10	5
AE005674.2_3806404_3831722	NC_000913.1_2064181_2077053_CP4-44	10	5
AE005674.2_3806404_3831722	NC_000913.1_2064181_2077053_CP4-44	10	5
AE005674.2_3806404_3831722	AF326777.3	8	8
AE005674.2_3806404_3831722	AF326777.3	8	8
AE005674.2_3806404_3831722	AF326777.3	8	8
AE005674.2_3806404_3831722	AF326777.3	8	8
AE005674.2_3806404_3831722	AF326777.3	8	8
AE005674.2_3806404_3831722	AF200692.2	23	18
AE005674.2_3806404_3831722	AF200692.2	23	18
AE005674.2_3806404_3831722	AF200692.2	23	18
AE005674.2_3806404_3831722	AF200692.2	23	18
AE005674.2_3806404_3831722	AF200692.2	23	18
AE005674.2_3806404_3831722	AF200692.2	23	18
AE005674.2_3806404_3831722	NC_002695.1_2203952_2250093_Sp12	5	5
AE005674.2_3806404_3831722	NC_002695.1_3852036_3875489_SpLE3	6	6
AE005674.2_3806404_3831722	NC_002695.1_3852036_3875489_SpLE3	6	6
AE005674.2_3806404_3831722	NC_002695.1_1246012_1308719_Sp5	5	5
AE005674.2_3806404_3831722	NC_002695.1_3475965_3500163_Sp17	5	5
AE005674.2_3806404_3831722	NC_002695.1_2668007_2712035_Sp14	5	5
AE005674.2_3806404_3831722	NC_002695.1_5347085_5357319_SpLE5	5	5
AE005674.2_3806404_3831722	NC_002655.1_1849488_1927638_CP933O	5	5
AE005674.2_3806404_3831722	NC_002655.1_1849488_1927638_CP933O	5	5
AE005674.2_3806404_3831722	NC_002695.1_2895926_2943804_Sp15	5	5
AE005674.2_3806404_3831722	NC_002695.1_2738079_2751537_SpLE2	5	5
AE005674.2_3806404_3831722	NC_002695.1_1618153_1665049.Sp8	5	5
AE005674.2_3806404_3831722	NC_002655.1_2116354_2165694_CP933R	5	5
AE005674.2_3806404_3831722	NC_002655.1_2743223_2788348_CP933U	5	5
AE005674.2_3806404_3831722	NC_002655.1_3550280_3558610_CP933Y	5	5
AE005674.2_3806404_3831722	NC_002695.1_2592901_2614020_Sp13	4	4
AE005674.2_3806404_3831722	NC_002695.1_4580864_4624313_SpLE4	5	5
AE005674.2_3806404_3831722	NC_002655.1_4648075_4694486_LEE	6	6
AE005674.2_3806404_3831722	NC_002655.1_4648075_4694486_LEE	6	6
AE005674.2_3806404_3831722	AE005674.2_3051465_3077703	8	8
AE005674.2_3806404_3831722	AE005674.2_3051465_3077703	8	8
AE005674.2_3806404_3831722	AE005674.2_3051465_3077703	8	8
AE005674.2_3806404_3831722	NC_002695.1_1161091_1210740_Sp4	4	4
AE005674.2_3806404_3831722	NC_002695.1_1161091_1210740_Sp4	4	4
AE005674.2_3806404_3831722	CP001969.1	4	4
AE005674.2_3806404_3831722	CP001969.1	4	4
AE005674.2_3806404_3831722	CP001969.1	4	4
AE005674.2_3806404_3831722	CP001969.1	4	4
AE005674.2_3806404_3831722	NC_000913.1_262122_296489_CP4-6	3	3
AE005674.2_3806404_3831722	NC_000913.1_262122_296489_CP4-6	3	3
AE005674.2_3806404_3831722	NC_003198.1_4409574_4543073_SPI7	3	3
AE005674.2_3806404_3831722	FQ312003.1	8	8
AE005674.2_3806404_3831722	FQ312003.1	8	8
AE005674.2_3806404_3831722	FQ312003.1	8	8
AE005674.2_3806404_3831722	FQ312003.1	8	8
AE005674.2_3806404_3831722	CP014051.2	8	8
AE005674.2_3806404_3831722	CP014051.2	8	8
AE005674.2_3806404_3831722	CP014051.2	8	8
AE005674.2_3806404_3831722	CP014051.2	8	8
AE006468.2_4049573_4054717	CP014051.2	100	100
AE006468.2_4049573_4054717	CP014051.2	100	100
AE006468.2_4049573_4054717	CP014051.2	100	100
AE006468.2_4049573_4054717	CP014051.2	100	100
AE006468.2_4049573_4054717	AE006468.2_4049573_4054717	100	100
AE006468.2_4049573_4054717	AE006468.2_4049573_4054717	100	100
AE006468.2_4049573_4054717	AF261825.2	99	99
AE006468.2_4049573_4054717	AF261825.2	99	99
AE006468.2_4049573_4054717	CP014979.2_29462_77183	99	99
AE006468.2_4049573_4054717	CP014979.2_29462_77183	99	99
AE006468.2_4049573_4054717	FQ312003.1	100	100
AE006468.2_4049573_4054717	FQ312003.1	100	100
AE006468.2_4049573_4054717	FQ312003.1	100	100
AE006468.2_4049573_4054717	FQ312003.1	100	100
AE006468.2_4049573_4054717	AY463797.8	14	14
AE006468.2_4049573_4054717	AY963803.6	14	14
AE006468.2_4049573_4054717	SPI6	1	1
AE006468.2_4049573_4054717	NC_003198.1_302488_361834_SPI6	1	1
AE006468.2_4049573_4054717	NC_003197.1_304665_351350_SPI6	1	1
AE006468.2_4049573_4054717	FQ312003.1_304515_350828	1	1
AE006468.2_465464_495362	CP014051.2	100	100
AE006468.2_465464_495362	CP014051.2	100	100
AE006468.2_465464_495362	CP014051.2	100	100
AE006468.2_465464_495362	AE006468.2_465464_495362	100	100
AE006468.2_465464_495362	FQ312003.1	100	100
AE006468.2_465464_495362	FQ312003.1	100	100
AE006468.2_465464_495362	FQ312003.1	100	100
AE006468.2_465464_495362	CP027410.1_859144_886443	15	15
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	CP001969.1	49	49
AE006468.2_465464_495362	AY963803.6	0	0
AE006468.2_465464_495362	AY463797.8	0	0
AF241171.1	AF241171.1	100	100
AF241171.1	CP046069_3221391_3272809	77	77
AF241171.1	CP046069_3221391_3272809	77	77
AF241171.1	CP046069_3221391_3272809	77	77
AF241171.1	NC_011770.1_3390565_3410660	29	29
AF241171.1	NC_011770.1_3390565_3410660	29	29
AF241171.1	EF611301.1	2	2
AF241171.1	EF611301.1	2	2
AF241171.1	EF611301.1	2	2
AF241171.1	EF611304.1	1	1
AF241171.1	EF611304.1	1	1
AF241171.1	CP046069_6209865_6225427	1	1
AF241171.1	CP046069_6209865_6225427	1	1
AF241171.1	CP046069_4592095_4616393	1	1
AF241171.1	CP046069_4592095_4616393	1	1
AF241171.1	NC_011770.1_4931528_4960941	1	1
AF241171.1	NC_011770.1_4931528_4960941	1	1
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	NC_011770.1_2504700_2551100	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	CP046069_2424758_2470270	3	3
AF241171.1	NC_018080_2724254_2841225	2	2
AF241171.1	NC_018080_2724254_2841225	2	2
AF241171.1	NC_018080_2724254_2841225	2	2
AF241171.1	NC_018080_2724254_2841225	2	2
AF241171.1	AY273870.1	2	2
AF241171.1	AY273870.1	2	2
AF241171.1	AY273870.1	2	2
AF241171.1	AY273870.1	2	2
AF241171.1	AY273870.1	2	2
AF241171.1	DQ437742.1	2	2
AF241171.1	DQ437742.1	2	2
AF241171.1	DQ437742.1	2	2
AF241171.1	DQ437742.1	2	2
AF241171.1	DQ437743.1	0	0
AF241171.1	DQ437744.1	0	0
AF332547.1	AF332547.1	100	100
AF440523.1	AF440523.1	100	100
AF440523.1	AF440523.1	100	100
AF440523.1	AF440523.1	100	100
AF440523.1	AF440523.1	100	100
AF440523.1	AF440523.1	100	100
AF440523.1	NC_011770.1_2798951_2935111	43	43
AF440523.1	NC_011770.1_2798951_2935111	43	43
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	CP046069_2632036_2744677	34	34
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KT454971.1_191222_388622	32	32
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196169.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196168.1	28	28
AF440523.1	KX196167.1	28	28
AF440523.1	KX196167.1	28	28
