genomic island,type of genomic island,role of the genomic island,base composition (%G+C),strain,strain Genbank sequence ID,genomic island GenBank Sequence ID,size (kb),start,end,source(s),PMID(s),notes,file name,,,
LESGI-8,,Encodes a probable type II secretion system (T2SS),,Pseudomonas aeruginosa LESB58,NC_011770.1,,11.6,2609726,2621297,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_2609726_2621297.fasta,,,
LESGI-9,,"Contains a partial gene cluster of NADH dehydrogenase, methyltransferase, and uncharacterized protein, and an exported protein",,Pseudomonas aeruginosa LESB58,NC_011770.1,,8.3,2639569,2647891,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_2639569_2647891.fasta,,,
LESGI-10,,Mosaic island that contains genes involved in pyoverdine synthesis,,Pseudomonas aeruginosa LESB58,NC_011770.1,,45.8,3147091,3192857,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_3147091_3192857.fasta,,,
LESGI-11,,Mosaic island with bipartite structure. Contains genes involved in phenazine synthesis,,Pseudomonas aeruginosa LESB58,NC_011770.1,,53.8,3743159,3796926,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_3743159_3796926.fasta,,,
LESGI-12,,"Contains genes for membrane proteins (CmpX and OprF), a metal ion transporter, and a regulatory gene",,Pseudomonas aeruginosa LESB58,NC_011770.1,,8.4,3945707,3954100,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_3945707_3954100.fasta,,,
LESGI-13,,Contains chaperone-usher pathway (cup) and tolQRAB gene clusters,,Pseudomonas aeruginosa LESB58,NC_011770.1,,21.6,4768774,4790400,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_4768774_4790400.fasta,,,
LESGI-14,,Contains genes coding for mostly hypothetical proteins ,,Pseudomonas aeruginosa LESB58,NC_011770.1,,7.3,4965792,4973115,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_4965792_4973115.fasta,,,
LESGI-15,,Contains a TonB-dependant receptor gene and a putative virulence-associate protein gene,,Pseudomonas aeruginosa LESB58,NC_011770.1,,10.9,5572987,5583916,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_5572987_5583916.fasta,,,
LESGI-16,,"Harbors genes coding for synthase, mutase, isomerase, redutase and nucleotidyltransferase, and tRNA genes",,Pseudomonas aeruginosa LESB58,NC_011770.1,,27.2,5656348,5683597,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_5656348_5683597.fasta,,,
LESGI-17,,"Mosaic island with genes encoding multidrug resistance proteins, drug efflux transporters and probable two component regulatory system, and tRNA genes",,Pseudomonas aeruginosa LESB58,NC_011770.1,,37,6127068,6164062,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_6127068_6164062.fasta,,,
LESGI-1,,"Includes homologs of regulatory proteins, restriction-modification proteins, an ATPase, and a sensor-kinase. Inserted at a tRNA locus, contains phage- and transposon-related coding sequences ",,Pseudomonas aeruginosa LESB58,NC_011770.1,,46.4,2504700,2551100,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210; Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108",27536294 and 19047519,,NC_011770.1_2504700_2551100.fasta,,,
LESGI-2,,Contains a pyoluteorin biosynthesis gene cluster,,Pseudomonas aeruginosa LESB58,NC_011770.1,,31.7,2751800,2783500,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210; Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108",27536294 and 19047519,,NC_011770.1_2751800_2783500.fasta,,,
LESGI-3,,Harbors genes conferring metal resistance (ex. a putative mercuric reductase gene) and genes encording LysR type transcriptional regulators,,Pseudomonas aeruginosa LESB58,NC_011770.1,,136.2,2798951,2935111,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210; Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108",27536294 and 19047519,,NC_011770.1_2798951_2935111.fasta,,,
LESGI-4,,,,Pseudomonas aeruginosa LESB58,NC_011770.1,,20.1,3390565,3410660,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210",27536294,,NC_011770.1_3390565_3410660.fasta,,,
LESGI-5,,Contains putative phage integrase and plasmid replication genes,,Pseudomonas aeruginosa LESB58,NC_011770.1,,29.4,4931528,4960941,"Jani M, Mathee K, Azad RK. Identification of Novel Genomic Islands in Liverpool Epidemic Strain of Pseudomonas aeruginosa Using Segmentation and Clustering. Front Microbiol. 2016 7:1210. Published 2016 Aug 3. doi:10.3389/fmicb.2016.01210; Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108",27536294 and 19047519,,NC_011770.1_4931528_4960941.fasta,,,
PAGI-3,,"Contains 106 ORFs coding for genes related to the metabolism and transport of amino acids, coenzymes, porphyrins, and other putative enzymes. Various small transposable elements such as insertion sequences (ISs) are integrated into this part of the gene island, sometimes disrupting the encoded genes",59.2,Pseudomonas aeruginosa SG17M,,AF440524.1,103.3,15866,119169,"Larbig KD, Christmann A, Johann A, et al. Gene islands integrated into tRNA(Gly) genes confer genome diversity on a Pseudomonas aeruginosa clone. J Bacteriol. 2002 184(23):6665-6680. doi:10.1128/jb.184.23.6665-6680.2002",12426355,,AF440524.1_15866_119169.fasta,,,
PAPI-1,,"Carries a complete gene cluster predicted to encode a type IV group B pilus. Contains 115 ORFs, 7 mobility factors that code for integrases and transposases, and at least 19 virulence factors",59.7,Pseudomonas aeruginosa PA14,,AY273869.1,111,,,"He J, Baldini RL, Déziel E, et al. The broad host range pathogen Pseudomonas aeruginosa strain PA14 carries two pathogenicity islands harboring plant and animal virulence genes. Proc Natl Acad Sci U S A. 2004 101(8):2530-2535. doi:10.1073/pnas.0304622101",14983043,,AY273869.1.fasta,,,
PAPI-2,,"Contains 15 ORFs, one integrase gene, four transposase genes, one pseudogene,; and a putative transposase gene",56.4,Pseudomonas aeruginosa PA14,,AY273870.1,11,,,"He J, Baldini RL, Déziel E, et al. The broad host range pathogen Pseudomonas aeruginosa strain PA14 carries two pathogenicity islands harboring plant and animal virulence genes. Proc Natl Acad Sci U S A. 2004 101(8):2530-2535. doi:10.1073/pnas.0304622101",14983043,,AY273870.1.fasta,,,
PAGI-2,,"Contains 111 ORFs coding for integrases, proteins for cytochrome c biogenesis system I, thiol-disulfide exchange proteins, and transporters for heavy metal ions. Additionally, it codes for proteins for cation transport and several transcription regulators.",64.7,Pseudomonas aeruginosa Strain C,,AF440523.1,105,,,"Larbig KD, Christmann A, Johann A, et al. Gene islands integrated into tRNA(Gly) genes confer genome diversity on a Pseudomonas aeruginosa clone. J Bacteriol. 2002 184(23):6665-6680. doi:10.1128/jb.184.23.6665-6680.2002",12426355,,AF440523.1.fasta,,,
PACGI-1,,"Contains protein quality control genes, coding for various holding and disaggregating chaperones, heat-inducible proteases such as FtsH, DegP and HtpX, thioredoxin and other stress resistance genes. small heat shock protein sHsp20c",,Pseudomonas aeruginosa clone C,,,86,,,"Lee C, Klockgether J, Fischer S, Trcek J, Tümmler B, Römling U. Why? - Successful Pseudomonas aeruginosa clones with a focus on clone C. FEMS Microbiol Rev. 2020 44(6):740-762. doi:10.1093/femsre/fuaa029; Lee, Changhan, et al. ""A Novel Protein Quality Control Mechanism Contributes to Heat Shock Resistance of Worldwide-DistributedPseudomonas Aeruginosaclone C Strains."" Environmental Microbiology, vol. 17, no. 11, 25 May 2015, pp. 4511-4526., doi:10.1111/1462-2920.12915. ",32990729,,,,,
flagellin_glycosylation_island,, The proteins encoded within this island are capable of glycosylating exclusively a-type flagellins, 63.3,Pseudomonas aeruginosa PAK,,AF332547.1,16,3414,19364,"Arora SK, Bangera M, Lory S, Ramphal R. A genomic island in Pseudomonas aeruginosa carries the determinants of flagellin glycosylation. Proc Natl Acad Sci U S A. 2001 98(16):9342-9347. doi:10.1073/pnas.161249198",11481492,,AF332547.1_3414_19364.fasta,,,
ExoU-A,,"Codes for an integrase, transposase, and helicase. Contains a tRNA-associated genomic island repeat which may be an accessory element needed for integration. Lacks a portion of a tRNA gene and soj, which suggest it may be permanently fixed into the chromosome.",57,Pseudomonas aeruginosa 6077,,DQ437742.1,81.2,,,"Kulasekara, Bridget R., et al. ""Acquisition and Evolution of the ExoU Locus in Pseudomonas Aeruginosa."" Journal of Bacteriology, vol. 188, no. 11, 17 May 2006, pp. 4037-4050., doi:10.1128/jb.02000-05.",16707695,,DQ437742.1.fasta,,,
ExoU-B,,"Codes for putative transposases, hypothetical proteins, GNAT family acetyltrasnferase, a chpaerone, and other proteins.",56.8,Pseudomonas aeruginosa 19660,,DQ437743.1,30,,,"Kulasekara, Bridget R., et al. ""Acquisition and Evolution of the ExoU Locus in Pseudomonas Aeruginosa."" Journal of Bacteriology, vol. 188, no. 11, 17 May 2006, pp. 4037-4050., doi:10.1128/jb.02000-05.",16707695,,DQ437743.1.fasta,,,
ExoU-C,,Contains a tRNA-associated genomic island repeat. Some regions have high % identitity to ExoU-A.,,Pseudomonas aeruginosa X13273,,DQ437744.1,4,,,"Kulasekara, Bridget R., et al. ""Acquisition and Evolution of the ExoU Locus in Pseudomonas Aeruginosa."" Journal of Bacteriology, vol. 188, no. 11, 17 May 2006, pp. 4037-4050., doi:10.1128/jb.02000-05.",16707695,,DQ437744.1.fasta,,,
PAGI-1,,"Approximately one-half of the genes are either hypothetical unknown or conserved hypothetical unknown genes. Two genes, delineated by orf32-orf33 and orf37-orf38, share high levels of similarity with elements encoding transposases A and B, respectively.",60.18% Note: this GC % was calculated by averaging the GC %s of the annotated genes in PAGI-1,Pseudomonas aeruginosa X24509,,AF241171.1,48.9,,,"Liang X, Pham XQ, Olson MV, Lory S. Identification of a genomic island present in the majority of pathogenic isolates of Pseudomonas aeruginosa. J Bacteriol. 2001 183(3):843-853. doi:10.1128/JB.183.3.843-853.2001",11208781,,AF241171.1.fasta,,,
PAGI-4,,"Hypotherical proteins, inegrase, transposase, acetyltransferase. ABC transporter unit, etc.",77.7% Note: this GC % was calculated by averaging the GC %s of the annotated ORFs located within PAGI-4 [C],Pseudomonas aeruginosa clone C,,AY258138.1,34,,,"Klockgether, Jens, et al. ""Sequence Analysis of the Mobile Genome Island pKLC102 of Pseudomonas Aeruginosa C."" Journal of Bacteriology, vol. 186, no. 2, 31 Dec. 2003, pp. 518-534., doi:10.1128/jb.186.2.518-534.2004.",14702321,,AY258138.1.fasta,,,
pKLC102,,"Plasmid pKLC102 coexists as a plasmid and a genome island in clone C strains. Codes for oriV and genes for replication, partitioning, and conjugation, including a pil cluster encoding type IV thin sex pili, integrase, etc. spontaneous excision rate from the host chromosome is at least 10^-1 (highly mobile)",60.54% Note: this GC % was calculated by averaging the GC %s of the annotated ORFs located within pKLC102,Pseudomonas aeruginosa clone C,, AY257538.1 ,103.5,,,"Klockgether, Jens, et al. ""Sequence Analysis of the Mobile Genome Island pKLC102 of Pseudomonas Aeruginosa C."" Journal of Bacteriology, vol. 186, no. 2, 31 Dec. 2003, pp. 518-534., doi:10.1128/jb.186.2.518-534.2004; Klockgether, Jens, et al. ""Transcript Profiling of the Pseudomonas Aeruginosa Genomic Islands PAGI-2 and pKLC102."" Microbiology, vol. 154, no. 6, 1 June 2008, pp. 1599-1604., doi:10.1099/mic.0.2007/014340-0. ",14702321,,AY257538.1.fasta,,,
LES prophage 1,,Defective prophage predicted to encode pyocin R2,,Pseudomonas aeruginosa LESB58,FM209186.1,,14.8,665561,680385,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_665561_680385.fasta,,,
LES prophage 2,,"Contains an integrase, transcriptional regulators, DnaC, Dna-binding protein, putative DnaB-like replicative helicase, putative metallophosphoesterase, etc.",,Pseudomonas aeruginosa LESB58,FM209186.1,,42.1,863875,906018,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_863875_906018.fasta,,,
LES prophage 3,,"Contains an integrase, putative excisionase, transcriptional regulator (LuxR family), DNA methylase N-4/N-6, etc.",,Pseudomonas aeruginosa LESB58,FM209186.1,,42.8,1433756,1476547,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_1433756_1476547.fasta,,,
LES prophage 4,,"Contains transposase A, putative cI genes, putative c repressor, virion morphogenesis protein, protease (I) and scaffold (Z) proteins, etc.",,Pseudomonas aeruginosa LESB58,FM209186.1,,26.8,1684045,1720850,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_1684045_1720850.fasta,,,
LES prophage 5,,"Contains an site-specific recombinase (phage integrase family), putative cI genes, DNA methylase N-4/N-6, portal protein, lytic enzyme, etc.",,Pseudomonas aeruginosa LESB58,FM209186.1,,39.9,2690450,2740350,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_2690450_2740350.fasta,,,
LES prophage 6,,"Contains a putative bacteriophage integrase, and hypothetical protein bacteriophage Pf1.",,Pseudomonas aeruginosa LESB58,FM209186.1,,7.6,4545190,4552788,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_4545190_4552788.fasta,,,
LESGI-1,,"Contains phage and transposon related CDSs; mostly hypothetical proteins",,Pseudomonas aeruginosa LESB58,FM209186.1,,46,2504700,2551100,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_2504700_2551100.fasta,,,
LESGI-2,,"Contains a pyoluteorin biosynthesis gene cluster",,Pseudomonas aeruginosa LESB58,FM209186.1,,32,2751800,2783500,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_2751800_2783500.fasta,,,
LESGI-3,,"Related to PAGI-2 of Clone C with an alternative cargo region containing putative transport proteins",,Pseudomonas aeruginosa LESB58,FM209186.1,,111,2796836,2907406,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_2796836_2907406.fasta,,,
LESGI-4,,"Related to PAGI-1",,Pseudomonas aeruginosa LESB58,FM209186.1,,39,3392800,3432228,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_3392800_3432228.fasta,,,
LESGI-5,,"Contains putative phage integrase and plasmid replication genes",,Pseudomonas aeruginosa LESB58,FM209186.1,,29,4931528,4960941,"Winstanley C, Langille MG, Fothergill JL, et al. Newly introduced genomic prophage islands are critical determinants of in vivo competitiveness in the Liverpool Epidemic Strain of Pseudomonas aeruginosa. Genome Res. 2009 19(1):12-23. doi:10.1101/gr.086082.108; Klockgether, Jens, et al. ""Pseudomonas Aeruginosa Genomic Structure and Diversity."" Frontiers in Microbiology, vol. 2, 13 July 2011, doi:10.3389/fmicb.2011.00150. ",19047519 and 21808635,,FM209186.1_4931528_4960941.fasta,,,
GI 20,,99.98% identity with PAGI-5 from Pseudomonas aeruginosa PSE9,,Pseudomonas aeruginosa KRP1,CP046069.1,,62,5366804,5428778,"Berger, C., Rückert, C., Blom, J. et al. Estimation of pathogenic potential of an environmental Pseudomonas aeruginosa isolate using comparative genomics. Sci Rep 11, 1370 (2021). https://doi.org/10.1038/s41598-020-80592-8",33446769,,CP046069.1_5366804_5428778.fasta,,,
